protein1,protein2,weight
CASP5,NLRP1,1.0
IDE,INS,1.0
RPP25,RPP40,1.0
RPP30,RPP40,1.0
BCL2,NLRP1,1.0
FGF23,KL,1.0
DAXX,TP53,1.0
DAXX,FAS,1.0
DAXX,PML,1.0
FGFR1,KL,1.0
CD4,ITIH4,1.0
NDUFV2,UQCRB,1.0
NDUFV2,SDHB,1.0
NDUFB8,NDUFV2,1.0
NDUFB11,NDUFV2,1.0
NDUFA5,NDUFV2,1.0
SH2D1A,SLAMF1,1.0
ANGPT4,TEK,1.0
NDUFB10,NDUFV2,1.0
FYN,SH2D1A,1.0
BMPR2,GDF2,1.0
ACVRL1,GDF2,1.0
EGFR,HBEGF,1.0
ERBB4,HBEGF,1.0
EIF4A1,EIF4H,1.0
ADCYAP1,ADCYAP1R1,1.0
ENTPD1,NT5E,1.0
TXN,TXNIP,1.0
MSH2,PMS2,1.0
IL2,IL2RA,1.0
IL2RA,IL2RG,1.0
IL2RA,IL2RB,1.0
PDGFA,PDGFRB,1.0
PDGFA,PDGFRA,1.0
CSF1,CSF1R,1.0
HRAS,RASSF5,1.0
RASSF5,STK4,1.0
CD226,NECTIN2,1.0
CD244,SH2D1A,1.0
CD226,PVR,1.0
ANGPT2,TEK,1.0
NDUFS4,NDUFV2,1.0
NDUFA2,NDUFV2,1.0
RPS12,RPS4X,1.0
BLOC1S3,BLOC1S6,1.0
PRPF6,SNRPD3,1.0
PRPF6,SNRPE,1.0
FYN,SRC,1.0
PRPF6,SNRPG,1.0
FIG4,VAC14,1.0
MFAP1,PRPF6,1.0
LSM4,PRPF6,1.0
PRPF6,SNU13,1.0
DDX23,PRPF6,1.0
PRPF6,TXNL4A,1.0
PRPF6,SNRPD2,1.0
PRPF6,SF3B4,1.0
SNX3,VPS26A,1.0
CS,MDH2,1.0
GOT2,MDH2,1.0
LMNB1,LMNB2,1.0
CD27,CD70,1.0
RPS12,RPS25,1.0
RPS12,RPS20,1.0
RPS12,RPS7,1.0
BLOC1S6,DTNBP1,1.0
NDUFB6,NDUFV2,1.0
TAF8,TBP,1.0
NDUFB4,NDUFV2,1.0
ROBO1,SLIT1,1.0
ROBO2,SLIT1,1.0
PECAM1,PTPN11,1.0
CDH5,PECAM1,1.0
KDR,PECAM1,1.0
G3BP1,USP10,1.0
ARMC8,GID8,1.0
GID8,WDR26,1.0
BLOC1S6,SNAPIN,1.0
BLOC1S2,BLOC1S6,1.0
BLOC1S1,BLOC1S6,1.0
BLOC1S5,BLOC1S6,1.0
GTF2B,TBP,1.0
TAF12,TBP,1.0
TAF10,TBP,1.0
GTF2A2,TBP,1.0
GTF2F2,TBP,1.0
BDP1,TBP,1.0
BRF1,TBP,1.0
GTF2E1,TBP,1.0
EMC1,EMC4,1.0
EMC10,EMC4,1.0
EMC2,EMC4,1.0
CLDN1,OCLN,1.0
OCLN,TJP1,1.0
ERBB2,SRC,1.0
EGF,ERBB2,1.0
ERBB2,HSP90AA1,1.0
MVD,MVK,1.0
HMGCR,MVK,1.0
BLOC1S1,KXD1,1.0
IGF1,IGFBP4,1.0
BLOC1S1,DTNBP1,1.0
BLOC1S1,BORCS5,1.0
DDX23,TXNL4A,1.0
CASK,LIN7A,1.0
LIN7A,MPP5,1.0
IFNAR1,TYK2,1.0
IFNAR1,IFNB1,1.0
IFNA1,IFNAR1,1.0
CCS,SOD1,1.0
GDF11,TGFBR1,1.0
CD44,ERBB2,1.0
LINGO1,NGFR,1.0
ERBB2,SHC1,1.0
BCL2L1,TP53,1.0
SIRT1,TP53,1.0
CDKN1A,TP53,1.0
TP53,UBE3A,1.0
CREBBP,TP53,1.0
FGF6,FGFR1,1.0
MDM2,TP53,1.0
PTEN,TP53,1.0
RAD51,TP53,1.0
ARPC3,ARPC5,1.0
ARPC1B,ARPC3,1.0
ARPC2,ARPC3,1.0
BLOC1S1,SNAPIN,1.0
BLOC1S1,BLOC1S3,1.0
BLOC1S1,BLOC1S2,1.0
ERBB2,ERBB4,1.0
ERBB2,GRB7,1.0
ERBB2,NRG1,1.0
EGFR,ERBB2,1.0
ERBB2,GRB2,1.0
TGFB3,TGFBR1,1.0
TGFB1,TGFBR1,1.0
EMC4,EMC8,1.0
PSMA6,PSMB6,1.0
PSMA3,PSMB6,1.0
PSMB3,PSMB6,1.0
PSMB2,PSMB6,1.0
NR1H4,RXRA,1.0
IARS1,KARS1,1.0
GMDS,TSTA3,1.0
G6PD,PGD,1.0
H6PD,PGD,1.0
MAT2A,MAT2B,1.0
IL20RB,IL22RA1,1.0
IL22,IL22RA1,1.0
IL10RB,IL22RA1,1.0
IL22RA1,IL24,1.0
FCN3,MASP1,1.0
GFRA1,RET,1.0
GDNF,GFRA1,1.0
RAN,RANGAP1,1.0
DLD,PDHX,1.0
PDHB,PDHX,1.0
NUTF2,RAN,1.0
RAN,RANBP1,1.0
PSMB1,PSMB6,1.0
PSMA5,PSMB6,1.0
SMAD3,TGFBR1,1.0
PSMA4,PSMB6,1.0
MSTN,TGFBR1,1.0
SMAD2,TGFBR1,1.0
DNMT3L,H3C1,1.0
FKBP1A,TGFBR1,1.0
SMURF2,TGFBR1,1.0
TGFBR1,TGFBR2,1.0
ACVR2B,TGFBR1,1.0
FRS2,GRB2,1.0
FRS2,PTPN11,1.0
FGFR1,FRS2,1.0
GEMIN6,GEMIN7,1.0
KARS1,MARS1,1.0
PSMA2,PSMB6,1.0
PSMA7,PSMB6,1.0
SELP,SELPLG,1.0
SELE,SELPLG,1.0
PSMB6,PSMD4,1.0
PSMA1,PSMB6,1.0
PSMB6,PSMB7,1.0
PSMB5,PSMB6,1.0
PSMB4,PSMB6,1.0
BCL2,TP53,1.0
BAG2,HSPA8,1.0
CHEK2,TP53,1.0
EIF4A2,EIF4E,1.0
EIF4A2,PDCD4,1.0
IFNG,IFNGR2,1.0
IFNG,IFNGR1,1.0
EIF4A2,EIF4G1,1.0
EIF4A2,EIF4G3,1.0
BCL2A1,BCL2L11,1.0
EIF4A2,EIF4B,1.0
EIF4A2,EIF4G2,1.0
STX8,VTI1B,1.0
VAMP8,VTI1B,1.0
CLINT1,VTI1B,1.0
STX6,VTI1B,1.0
EXOSC1,EXOSC3,1.0
STX7,VTI1B,1.0
IL10RB,IL26,1.0
PSMA7,PSMD4,1.0
PSMA2,PSMA7,1.0
PSMA7,PSMB4,1.0
PSMA7,PSMB5,1.0
TIMELESS,TIPIN,1.0
PPP4C,PPP4R3A,1.0
KDR,PGF,1.0
MDM4,TP53,1.0
FLT1,PGF,1.0
MFAP1,SNRPD2,1.0
MFAP1,SF3B4,1.0
GPI,TPI1,1.0
PGK1,TPI1,1.0
GAPDH,TPI1,1.0
GAPDHS,TPI1,1.0
MFAP1,SNRPG,1.0
MFAP1,SNRPA1,1.0
CBS,CTH,1.0
EXOSC1,EXOSC8,1.0
EXOSC1,EXOSC5,1.0
C1D,EXOSC1,1.0
PAGR1,PAXIP1,1.0
UBC,USP5,1.0
FGF7,FGFR2,1.0
FGF7,FGFR1,1.0
HNRNPA1,HNRNPC,1.0
SRP14,SRP19,1.0
IL11,IL11RA,1.0
PSMA7,PSMB7,1.0
PSMA1,PSMA7,1.0
NDUFA5,NDUFB10,1.0
LTBR,TNFSF14,1.0
LTA,LTBR,1.0
FUBP1,PUF60,1.0
APAF1,CASP3,1.0
APAF1,CYCS,1.0
CDH2,CTNNB1,1.0
NACA,RPS3A,1.0
PFDN2,PFDN5,1.0
PFDN1,PFDN5,1.0
PFDN5,VBP1,1.0
PFDN4,PFDN5,1.0
CCNA2,CDKN1B,1.0
CCNA1,CDKN1B,1.0
CDKN1B,SKP2,1.0
CCNE1,CDKN1B,1.0
SFN,TP53,1.0
HIF1A,TP53,1.0
HSP90AA1,TP53,1.0
NDUFB10,NDUFB11,1.0
NDUFB10,NDUFB8,1.0
NDUFAF3,NDUFB10,1.0
MPI,PMM2,1.0
PSMA7,PSMB1,1.0
PSMA6,PSMA7,1.0
PSMA5,PSMA7,1.0
PSMA4,PSMA7,1.0
PSMA7,PSMB9,1.0
ABRAXAS1,BARD1,1.0
PSMA7,PSMB2,1.0
PSMA7,PSMB3,1.0
PSMA3,PSMA7,1.0
BARD1,MRE11,1.0
NDUFB10,NDUFS4,1.0
BNIP3L,GABARAP,1.0
BNIP3L,GABARAPL2,1.0
BNIP3L,GABARAPL1,1.0
DNM1L,FIS1,1.0
IRF8,SPI1,1.0
NDUFA2,NDUFB10,1.0
NDUFB10,NDUFB6,1.0
NDUFB10,NDUFB4,1.0
PRKACA,PRKAR2B,1.0
RNF43,RSPO1,1.0
ATG7,GABARAPL1,1.0
SRC,STAT3,1.0
IL13RA1,IL4,1.0
IGF1,IGFBP2,1.0
IGF2,IGFBP2,1.0
IL13,IL13RA1,1.0
IL13RA1,IL4R,1.0
FGF10,FGFR1,1.0
FGF10,FGFR2,1.0
KLKB1,KNG1,1.0
CREBBP,IRF3,1.0
IRF3,TBK1,1.0
EFNA5,EPHA7,1.0
EFNA5,EPHB2,1.0
EFNA5,EPHA2,1.0
EFNA5,EPHA5,1.0
EFNA5,EPHA3,1.0
RPL12,RPS19,1.0
RPS14,RPS19,1.0
RPLP2,RPS19,1.0
RPL38,RPS19,1.0
FOSL2,JUND,1.0
INSR,PTPN1,1.0
IGF1,IGFBP5,1.0
PIAS3,STAT3,1.0
EFNA5,EPHA4,1.0
MTX2,SAMM50,1.0
BLOC1S2,KXD1,1.0
BCL10,CARD9,1.0
CARD9,SYK,1.0
CARD9,MALT1,1.0
BORCS5,KXD1,1.0
LGR4,ZNRF3,1.0
LGR4,RSPO3,1.0
LGR4,RSPO1,1.0
AGER,HMGB1,1.0
HMGB1,TLR4,1.0
IL1RAP,IL1RL1,1.0
BECN1,HMGB1,1.0
TNFRSF4,TNFSF4,1.0
FZD2,WNT5A,1.0
RYK,WNT5A,1.0
HSPD1,HSPE1,1.0
FZD4,WNT5A,1.0
FZD5,WNT5A,1.0
JAK2,STAT3,1.0
STAT1,STAT3,1.0
FOSL2,JUN,1.0
OSBP,VAPA,1.0
CDC37,HSP90AB1,1.0
HSP90AB1,PTGES3,1.0
IL12RB1,IL23R,1.0
ICAM1,VCAM1,1.0
ICAM1,ITGAL,1.0
ICAM1,ITGB2,1.0
ICAM1,ITGAM,1.0
PPARG,PPARGC1A,1.0
ESRRA,PPARGC1A,1.0
FOXO1,PPARGC1A,1.0
PPARA,PPARGC1A,1.0
APOA1,APOB,1.0
APOB,APOE,1.0
APOB,APOC3,1.0
APOA2,APOB,1.0
PPARGC1A,SIRT1,1.0
HSP90AB1,HSPA8,1.0
FKBP5,HSP90AB1,1.0
HSP90AB1,STIP1,1.0
FKBP4,HSP90AB1,1.0
AIP,HSP90AB1,1.0
HSP90AB1,STUB1,1.0
DNAJB1,HSP90AB1,1.0
HSP90AB1,PPID,1.0
AGRN,LRP4,1.0
IL12RB1,TYK2,1.0
RPS19,RPS3,1.0
RPS19,RPS27A,1.0
RPS19,RPS3A,1.0
RPL30,RPS19,1.0
RPS19,RPS5,1.0
RPS19,RPS4X,1.0
RPS19,RPS7,1.0
GCK,GCKR,1.0
RPS19,RPS20,1.0
RPS19,RPS25,1.0
AGRN,DAG1,1.0
RPL11,RPS19,1.0
RAD18,UBE2A,1.0
RPS10,RPS19,1.0
RPS19,RPSA,1.0
RACK1,RPS19,1.0
RPL5,RPS19,1.0
AGRN,MUSK,1.0
IL12RB1,IL12RB2,1.0
SF3B4,SF3B6,1.0
AZU1,PRTN3,1.0
AZU1,ELANE,1.0
AZU1,MPO,1.0
GMPS,IMPDH1,1.0
ACVR2A,BMP2,1.0
BMP2,NOG,1.0
BMP2,BMPR1A,1.0
IL1RL2,IL36RN,1.0
IL1F10,IL1RL2,1.0
IL18,IL18RAP,1.0
IL18R1,IL18RAP,1.0
MPO,PRTN3,1.0
PA2G4,RPL5,1.0
OAZ1,ODC1,1.0
AZIN1,OAZ1,1.0
CNTF,CNTFR,1.0
CNTFR,LIFR,1.0
COPB2,COPE,1.0
AMOT,MPP5,1.0
GPI,H6PD,1.0
CUL3,KLHL13,1.0
CUL3,KEAP1,1.0
CUL3,SPOP,1.0
BMP2,BMPR1B,1.0
BMP2,CHRD,1.0
PCNA,RFC4,1.0
ACVR2B,BMP2,1.0
LRP4,MUSK,1.0
ECHS1,HADH,1.0
CCL20,CCL5,1.0
CCL27,CCL5,1.0
CD80,CTLA4,1.0
CD80,CD86,1.0
CD274,CD80,1.0
CD28,CD80,1.0
CCL5,CXCL12,1.0
CCL17,CCL5,1.0
CCL21,CCL5,1.0
BMP2,BMPR2,1.0
CCL5,CXCL11,1.0
CCL2,CCL5,1.0
CCL5,CXCL6,1.0
CCL5,CXCL10,1.0
CCL5,CXCL2,1.0
CCL5,CXCL9,1.0
CCL5,PF4,1.0
CUL3,KLHL3,1.0
CUL3,KLHL12,1.0
GP1BA,SELP,1.0
GP1BA,GP1BB,1.0
KMT2C,RBBP5,1.0
RBBP5,WDR5,1.0
PAXIP1,RBBP5,1.0
FLNA,GP1BA,1.0
GP1BA,VWF,1.0
RPS25,RPS5,1.0
RPS20,RPS5,1.0
RPL30,RPS5,1.0
RPS4X,RPS5,1.0
RPS5,RPS7,1.0
PCNA,POLH,1.0
IFIT2,IFIT3,1.0
FEN1,PCNA,1.0
FCN1,MASP1,1.0
CDKN1A,PCNA,1.0
SYK,VAV1,1.0
BLNK,VAV1,1.0
GRB2,VAV1,1.0
VAV1,ZAP70,1.0
CDC42,VAV1,1.0
ASH2L,RBBP5,1.0
ODC1,SRM,1.0
RACK1,RPS5,1.0
MAGEA3,MAGEA6,1.0
RPS3A,RPS5,1.0
RPS27A,RPS5,1.0
RPS3,RPS5,1.0
RPS14,RPS5,1.0
RPLP2,RPS5,1.0
RPL12,RPS5,1.0
RPL38,RPS5,1.0
RPS5,RPSA,1.0
DPY30,RBBP5,1.0
RPL5,RPS5,1.0
RPL11,RPS5,1.0
RPS10,RPS5,1.0
FGF2,FGFR2,1.0
FGF2,FGFR4,1.0
FGF2,FGFR1,1.0
FGF2,FGFR3,1.0
AHSA1,HSP90AB1,1.0
F3,TFPI,1.0
ATG3,ATG7,1.0
SKP1,SKP2,1.0
ATF3,JUN,1.0
PLXNA4,SEMA3A,1.0
PLXNA1,SEMA3A,1.0
NRP1,SEMA3A,1.0
IL2,IL5,1.0
IL3,IL5,1.0
IL5,IL5RA,1.0
CTSG,ELANE,1.0
ELANE,MPO,1.0
ELANE,SERPINA1,1.0
NRP1,SEMA3B,1.0
NRP1,PLXNA1,1.0
NRP1,PLXNA4,1.0
L1CAM,NRP1,1.0
KDR,NRP1,1.0
IL2,IL4,1.0
IL4,IL4R,1.0
CTNNB1,SKP1,1.0
CSF2RB,IL3RA,1.0
NFKBIA,SKP1,1.0
IL17RA,IL25,1.0
IL17RB,IL25,1.0
RAD18,UBE2B,1.0
UBA5,UFM1,1.0
RAD51C,RAD51D,1.0
CAMLG,GET3,1.0
GET3,UBL4A,1.0
HSP90AA1,NR3C1,1.0
FKBP5,NR3C1,1.0
MED11,MED20,1.0
MED1,MED20,1.0
MED20,MED28,1.0
MED10,MED20,1.0
STX10,VTI1A,1.0
DARS1,EEF1E1,1.0
EEF1E1,MARS1,1.0
AIMP1,EEF1E1,1.0
CKS1B,SKP1,1.0
CACYBP,SKP1,1.0
FBXL5,SKP1,1.0
IL2RG,IL4,1.0
IL3,IL3RA,1.0
F10,TFPI,1.0
APTX,XRCC1,1.0
NDUFA2,NDUFB6,1.0
NDUFB4,NDUFB6,1.0
BSG,SLC16A3,1.0
COPS2,COPS8,1.0
NDUFB6,NDUFS4,1.0
COPS5,COPS8,1.0
NDUFB11,NDUFB6,1.0
NDUFB6,NDUFB8,1.0
NDUFA5,NDUFB6,1.0
COPS7B,COPS8,1.0
ARHGDIA,RHOA,1.0
ARHGDIA,CDC42,1.0
PRKACA,PRKAR2A,1.0
AP2A2,AP2B1,1.0
ATG5,DDX58,1.0
DDX58,ISG15,1.0
DDX58,OASL,1.0
ATG7,GABARAP,1.0
ATG7,GABARAPL2,1.0
ATG5,ATG7,1.0
P4HA2,P4HB,1.0
JUN,JUND,1.0
TIMM23,TIMM50,1.0
IFNL3,IFNLR1,1.0
IFNL2,IFNLR1,1.0
IFNL1,IFNLR1,1.0
IFNLR1,IL10RB,1.0
JUN,MAPK8,1.0
JUN,MAPK9,1.0
CRKL,RAPGEF1,1.0
CBL,CRKL,1.0
TNFRSF11A,TNFSF11,1.0
APOC1,APOC2,1.0
APOC1,APOE,1.0
POLB,XRCC1,1.0
APOC1,APOC3,1.0
CAPN2,CAPNS1,1.0
COASY,PPCDC,1.0
NLGN2,NRXN2,1.0
NLGN1,NRXN2,1.0
NLGN3,NRXN2,1.0
NLGN4Y,NRXN2,1.0
NLGN4X,NRXN2,1.0
APOC2,APOC3,1.0
APOC2,APOE,1.0
LSM4,SNRPD2,1.0
HMG20B,KDM1A,1.0
NGFR,NTF4,1.0
NTF4,NTRK3,1.0
NTF4,NTRK1,1.0
NTF4,NTRK2,1.0
EIF4A3,MAGOH,1.0
RAB7A,RILP,1.0
FOXO1,SIRT1,1.0
PFDN4,VBP1,1.0
PFDN1,PFDN4,1.0
PFDN2,PFDN4,1.0
TNFRSF18,TNFSF18,1.0
CDC42,PAK4,1.0
ANXA2,S100A4,1.0
ANXA2,S100A10,1.0
CHMP2A,CHMP6,1.0
LSM1,LSM4,1.0
LSM4,SNRPD3,1.0
PSMD4,RAD23A,1.0
LSM4,SNRPE,1.0
TRAPPC4,TRAPPC5,1.0
TRAPPC2,TRAPPC5,1.0
TRAPPC5,TRAPPC6A,1.0
TRAPPC3,TRAPPC5,1.0
CNGA2,CNGB1,1.0
EGLN2,HIF1A,1.0
PDCD6,PDCD6IP,1.0
GRPEL1,HSPA9,1.0
FLT3,FLT3LG,1.0
CBL,ZAP70,1.0
CD247,ZAP70,1.0
LAT,ZAP70,1.0
LCK,ZAP70,1.0
DPY30,KMT2C,1.0
ASH2L,DPY30,1.0
DPY30,WDR5,1.0
LSM3,LSM4,1.0
CHMP2A,CHMP4A,1.0
CHMP1A,CHMP2A,1.0
CHMP2A,CHMP3,1.0
EGF,EGFR,1.0
RPS3A,RPS4X,1.0
RPS3A,RPS7,1.0
RPL30,RPS3A,1.0
RPS20,RPS3A,1.0
EGF,ERBB4,1.0
RPS25,RPS3A,1.0
EIF2S1,RPS3A,1.0
RPL38,RPS3A,1.0
RPS14,RPS3A,1.0
HRG,PLG,1.0
RPLP2,RPS3A,1.0
RPL12,RPS3A,1.0
RPS3,RPS3A,1.0
TCAP,TTN,1.0
IL20RA,IL20RB,1.0
IL20RB,IL24,1.0
ATXN3,RAD23A,1.0
RPS10,RPS3A,1.0
TNFRSF14,TNFSF14,1.0
TNFRSF6B,TNFSF14,1.0
FANCL,HES1,1.0
FANCF,HES1,1.0
BMP7,NOG,1.0
BMP4,NOG,1.0
DENR,MCTS1,1.0
JAG2,NOTCH3,1.0
RPS3A,RPSA,1.0
JAG2,NOTCH1,1.0
JAG2,NOTCH2,1.0
RPL11,RPS3A,1.0
RPL5,RPS3A,1.0
EIF1,EIF1AX,1.0
NTRK3,PTPRS,1.0
ACTN2,TTN,1.0
RACK1,RPS3A,1.0
KPNB1,RAN,1.0
PSMA4,PSMA5,1.0
CCT5,CCT7,1.0
BAG6,UBL4A,1.0
CCT5,TCP1,1.0
C5,C7,1.0
C5,C9,1.0
C5,C6,1.0
SGTA,UBL4A,1.0
CCT5,CCT8,1.0
CACYBP,SIAH1,1.0
SOCS3,TYK2,1.0
DLAT,DLD,1.0
DLAT,PDHA2,1.0
DLAT,PDHB,1.0
PLG,SERPINF2,1.0
FGF8,FGFR2,1.0
SEC61B,SEC61G,1.0
FGF8,FGFR1,1.0
IL18,IL18R1,1.0
IL10RB,TYK2,1.0
RPL11,RPL12,1.0
IL18,IL18BP,1.0
RPL12,RPS3,1.0
EIF4A1,EIF4G2,1.0
EIF4E,EIF4G2,1.0
CD247,FCGR3B,1.0
CALCB,RAMP1,1.0
PTH,PTHLH,1.0
PTH,PTH1R,1.0
PSME1,PSME2,1.0
CFL1,LIMK1,1.0
CHMP1B,IST1,1.0
CHMP1B,VPS4A,1.0
CHMP1B,CHMP3,1.0
CHMP1B,SPAST,1.0
TNFRSF8,TNFSF8,1.0
CHMP1B,VTA1,1.0
EIF4A1,PDCD4,1.0
FGF8,FGFR3,1.0
RPL38,RPS3,1.0
PSMA1,PSMA2,1.0
PSMA2,PSMB5,1.0
PSMA2,PSMB4,1.0
PSMA2,PSMD6,1.0
PSMA2,PSMD4,1.0
PSMA2,PSMB10,1.0
PSMA2,PSMD11,1.0
PSMA2,PSMC5,1.0
PSMA2,PSMC3,1.0
PSMA2,PSMA3,1.0
PSMA2,PSMB3,1.0
PSMA2,PSMB2,1.0
PSMA2,PSMB9,1.0
PSMA2,PSMA4,1.0
PSMA2,PSMA5,1.0
PSMA2,PSMA6,1.0
PSMA2,PSMB1,1.0
PSMA2,PSMD7,1.0
RPL30,RPLP2,1.0
RPL5,RPLP2,1.0
PSMA2,PSMB7,1.0
MRPL12,MRPL32,1.0
BET1L,GOSR1,1.0
MRPL21,MRPL32,1.0
GAPDH,SYNCRIP,1.0
NUP98,SEC13,1.0
CD247,CD3G,1.0
CD3E,CD3G,1.0
NGFR,NTRK1,1.0
NTF3,NTRK1,1.0
NTRK1,SHC1,1.0
NGF,NTRK1,1.0
BDNF,NTRK1,1.0
RPLP2,RPS3,1.0
RPLP2,RPS27A,1.0
RPL38,RPLP2,1.0
RPL12,RPLP2,1.0
RPLP2,RPS14,1.0
RPLP2,RPS20,1.0
RPLP2,RPS25,1.0
MRPL32,MRPL33,1.0
RPS14,RPS3,1.0
RPS27A,RPS3,1.0
PSMA5,PSMD7,1.0
RPS25,RPS3,1.0
NRBF2,PIK3C3,1.0
RPL11,RPS25,1.0
RPS10,RPS25,1.0
RACK1,RPS25,1.0
RPS25,RPSA,1.0
RPL5,RPS25,1.0
CTSG,MPO,1.0
RPL30,RPS25,1.0
RPS25,RPS7,1.0
RPS25,RPS4X,1.0
RPS20,RPS25,1.0
LRRC4C,NTNG1,1.0
JCHAIN,PIGR,1.0
BECN1,NRBF2,1.0
RPS25,RPS27A,1.0
HMGCR,HMGCS1,1.0
TRAPPC4,TRAPPC6A,1.0
IFNGR2,JAK2,1.0
IFNGR1,IFNGR2,1.0
HUS1,RAD1,1.0
CALCOCO2,LGALS8,1.0
RELN,VLDLR,1.0
NTF3,NTRK2,1.0
NTRK2,SHC1,1.0
NGF,NTRK2,1.0
BDNF,NTRK2,1.0
MAPK1,RPS6KA1,1.0
MMP1,TIMP1,1.0
CSF3,CSF3R,1.0
CSF2,CSF3,1.0
RPS14,RPS25,1.0
RPL12,RPS25,1.0
RPL38,RPS25,1.0
FBLIM1,FLNA,1.0
TXN,TXNRD1,1.0
BLNK,PLCG2,1.0
BLNK,BTK,1.0
BLNK,GRB2,1.0
BLNK,LYN,1.0
MRPL33,RPS3,1.0
RPS3,RPS7,1.0
RPS3,RPS4X,1.0
RPL30,RPS3,1.0
RPL5,RPS3,1.0
ATP5PB,ATP5PF,1.0
ATP5MF,ATP5PB,1.0
ATP5F1B,ATP5PB,1.0
ATP5PB,ATP5PO,1.0
RPS3,RPSA,1.0
RACK1,RPS3,1.0
RPS10,RPS3,1.0
RPL11,RPS3,1.0
BLNK,SYK,1.0
MRPL12,RPS3,1.0
FGF9,FGFR2,1.0
MRPL21,RPS3,1.0
FGF9,FGFR3,1.0
FGF9,FGFR1,1.0
RSPO1,ZNRF3,1.0
C1S,SERPING1,1.0
C1R,SERPING1,1.0
CDH23,USH1C,1.0
FZD4,LRP6,1.0
FZD4,NDP,1.0
FZD4,LRP5,1.0
PLXNB3,SEMA5A,1.0
COQ7,COQ9,1.0
CD9,PTGFRN,1.0
CD9,IGSF8,1.0
PEX14,PEX5,1.0
CHTF8,DSCC1,1.0
RPS20,RPS3,1.0
ICAM3,ITGAL,1.0
ICAM2,ITGAL,1.0
ATG3,GABARAPL2,1.0
ATG3,GABARAP,1.0
ATG3,GABARAPL1,1.0
IL17A,IL17RA,1.0
CD2,CD58,1.0
RPL30,RPL38,1.0
RPL30,RPS14,1.0
RPL12,RPL30,1.0
IST1,SPAST,1.0
RPL30,RPS27A,1.0
HGF,MET,1.0
RPL30,RPS4X,1.0
RPL30,RPS7,1.0
RPL30,RPS20,1.0
SERPINB3,SERPINB4,1.0
ATG3,ATG5,1.0
IL17F,IL17RA,1.0
RPL11,RPL30,1.0
IL17RA,IL17RB,1.0
PSMD4,UBQLN4,1.0
