Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ACRBP,Acrosin-binding protein,44535,422,1.08 [0.86-1.35],0.528807643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ACRV1,Acrosomal protein SP-10,43449,414,0.96 [0.86-1.07],0.471828782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ACSL1,Long-chain-fatty-acid--CoA ligase 1,43276,405,1.09 [0.85-1.39],0.507667757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ACTA2,"Actin, aortic smooth muscle",50532,843,0.95 [0.83-1.10],0.522642914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ACTN2,Alpha-actinin-2,43276,405,1.07 [0.91-1.25],0.405027507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ACTN4,Alpha-actinin-4,50504,835,0.96 [0.79-1.16],0.655525876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ACVRL1,Serine/threonine-protein kinase receptor R3,50988,838,0.81 [0.63-1.04],0.095902601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ACY1,Aminoacylase-1,51476,849,0.84 [0.75-0.93],0.00079273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,43276,405,0.85 [0.71-1.02],0.074960926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ACYP1,Acylphosphatase-1,43602,405,0.94 [0.81-1.09],0.410371187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADA,Adenosine deaminase,52037,862,0.80 [0.67-0.95],0.011905368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADA2,Adenosine deaminase 2,51176,852,1.25 [1.09-1.44],0.001121893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,43449,414,0.83 [0.62-1.13],0.235774763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,50532,843,0.96 [0.79-1.17],0.691695755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,51073,838,0.85 [0.72-1.01],0.060245001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,52037,862,0.86 [0.73-1.01],0.059309533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,51842,854,0.94 [0.77-1.16],0.582567464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,44554,423,0.85 [0.62-1.17],0.322245252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,43449,414,0.96 [0.71-1.31],0.818340301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,52112,860,0.69 [0.54-0.89],0.004199028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,51237,847,0.79 [0.69-0.91],0.000643699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,50532,843,1.12 [0.94-1.32],0.206390725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,43449,414,1.21 [0.93-1.57],0.159660192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,51632,850,1.05 [0.92-1.20],0.497655367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTSL2,ADAMTS-like protein 2,44748,420,0.97 [0.73-1.29],0.826061892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTSL4,ADAMTS-like protein 4,43557,401,0.42 [0.28-0.62],1.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTSL5,ADAMTS-like protein 5,44742,423,0.71 [0.56-0.90],0.00404453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,50261,834,0.91 [0.75-1.11],0.343898375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADD1,Alpha-adducin,43766,407,0.95 [0.83-1.08],0.436028763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADGRB3,Adhesion G protein-coupled receptor B3,50988,838,1.02 [0.85-1.22],0.848904397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADGRD1,Adhesion G-protein coupled receptor D1,43766,407,0.67 [0.52-0.87],0.002201931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADGRE1,Adhesion G protein-coupled receptor E1,44554,423,0.91 [0.76-1.08],0.261074712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADGRE2,Adhesion G protein-coupled receptor E2,51696,854,0.71 [0.57-0.89],0.00226441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADGRE5,Adhesion G protein-coupled receptor E5,51860,859,0.72 [0.59-0.88],0.001331503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADGRF5,Adhesion G protein-coupled receptor F5,44742,423,0.98 [0.70-1.37],0.892173832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADGRG1,Adhesion G-protein coupled receptor G1,51237,847,1.03 [0.96-1.10],0.468785458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADGRG2,Adhesion G-protein coupled receptor G2,51476,849,0.48 [0.40-0.58],1.27E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADGRV1,Adhesion G-protein coupled receptor V1,43303,408,0.91 [0.78-1.05],0.18651099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADH1B,All-trans-retinol dehydrogenase,43766,407,0.86 [0.75-0.98],0.024364255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,50532,843,0.89 [0.83-0.96],0.003284268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADIPOQ,Adiponectin,44814,423,1.19 [1.04-1.36],0.012840901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADM,Pro-adrenomedullin,51912,855,0.90 [0.71-1.13],0.355673728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,ADRA2A,Alpha-2A adrenergic receptor,43276,405,1.12 [0.99-1.26],0.07322356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AFAP1,Actin filament-associated protein 1,43766,407,0.97 [0.86-1.09],0.578439963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AFM,Afamin,44814,423,0.54 [0.34-0.85],0.008468022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AFP,Alpha-fetoprotein,50905,837,0.92 [0.84-1.01],0.080271591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AGBL2,Cytosolic carboxypeptidase 2,43303,408,0.93 [0.84-1.03],0.158781198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AGER,Advanced glycosylation end product-specific receptor,51357,848,0.79 [0.68-0.91],0.001508726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AGR2,Anterior gradient protein 2 homolog,49858,826,1.04 [0.98-1.11],0.18221538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AGR3,Anterior gradient protein 3,50176,833,0.88 [0.79-0.98],0.017526127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AGRN,Agrin,51696,854,0.81 [0.68-0.97],0.020720913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AGRP,Agouti-related protein,52037,862,0.91 [0.81-1.02],0.094483444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AGT,Angiotensinogen,44783,424,0.80 [0.53-1.19],0.269710201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AGXT,Serine--pyruvate aminotransferase,51476,849,1.03 [0.95-1.12],0.454083255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AHCY,Adenosylhomocysteinase,51476,849,0.99 [0.90-1.08],0.760018381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AHNAK,Neuroblast differentiation-associated protein AHNAK,43557,401,0.56 [0.44-0.71],2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AHNAK2,Protein AHNAK2,43557,401,0.48 [0.34-0.69],7.54E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,44535,422,0.94 [0.81-1.09],0.40440615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AHSG,Alpha-2-HS-glycoprotein,44783,424,0.59 [0.44-0.80],0.00066346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AHSP,Alpha-hemoglobin-stabilizing protein,51401,846,1.04 [0.96-1.11],0.322914499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AIDA,"Axin interactor, dorsalization-associated protein",43517,414,1.05 [0.95-1.17],0.319661714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Parkinson's disease,AIF1,Allograft inflammatory factor 1,50261,834,0.88 [0.78-0.99],0.031101686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
