,Gene,AnomalyScore
4067,ERC1,15.121334
3484,STK4,15.101379
4731,UBE2N,15.085472
5039,PDE4D,15.078329
5803,DNAJB14,15.075955
1927,STMN1,15.069438
2122,RANBP1,15.04032
1342,GNPNAT1,15.03017
296,TRIO,15.01386
3667,CYRIA,15.007706
334,YME1L1,14.955175
2033,SNUPN,14.924836
1366,EIF4G3,14.922156
2837,DNAJC12,14.910347
3757,NARS2,14.905949
2055,ALDH5A1,14.9023285
330,CHGA,14.898382
1371,ADSS1,14.849526
1482,PRDM1,14.783837
1259,ATP13A1,14.76086
3692,CAPZB,14.689241
5089,RGMA,14.658905
5897,DEFB129,14.62875
2029,DCXR,14.616699
2152,PIP4K2B,14.6137905
4635,DKK1,14.610137
4835,CBX5,14.582737
2021,TRAF1,14.5653
2183,CDKN1A,14.55362
4094,MICAL1,14.550828
1900,AASDHPPT,14.499061
2274,EIF4A2,14.492597
3404,RAD51C,14.446841
1187,GPR26,14.43472
5916,FAAH2,14.433577
5632,SERPINA9,14.4334545
2513,RGS21,14.39755
5038,PDE3A,14.397336
5395,NCAM2,14.36056
4945,MAPK14,14.360166
1326,CROT,14.311527
3988,CXorf38,14.303819
4664,CKB|CKM,14.263789
5704,MTIF3,14.223772
1872,BLVRB,14.222214
6125,BPNT2,14.194878
2084,IDI2,14.175632
1561,MESD,14.143304
802,PPM1A,14.125272
189,SYK,14.094885
6250,COX7A2L,14.069075
2207,MTHFD2,14.0574465
967,GSKIP,14.053365
2004,FKBP4,14.049978
5005,SEMA6B,14.048985
497,HMBS,14.045134
5924,SNCA,14.042253
2619,OXSR1,14.03602
244,ASPRV1,14.029707
595,AAGAB,14.005763
5310,HEPHL1,14.005129
3823,CACNB3,13.921573
4053,CYB5R4,13.907621
5443,CNP,13.888156
5911,LRRC74A,13.844252
2432,GLUL,13.843391
1870,PDGFD,13.8410015
1675,EPHB4,13.823146
4545,RGMB,13.808391
293,NAT14,13.799036
823,MDH2,13.789219
1435,DEF6,13.780687
2606,RAB6A,13.752576
2405,DTD1,13.751768
4124,RPS6KB2,13.739872
2590,SIRT1,13.733452
1459,TNFRSF10D,13.688423
4039,UNC13D,13.683954
4030,MZT2A,13.659175
1348,TOLLIP,13.657848
945,IARS1,13.651113
678,PAIP1,13.650411
4743,IL20,13.646291
3633,TIPRL,13.619699
3651,SNX16,13.607931
5549,DNAJB11,13.582045
4644,CHL1,13.527145
2081,DYNLRB2,13.514197
2292,AIF1L,13.47572
6115,ATP5PO,13.459256
2411,BTK,13.433992
6318,RHOA,13.396123
5790,MANEA,13.3914175
740,UCK2,13.368334
5620,VSTM4,13.368029
2334,SLIT2,13.36509
5640,TPM4,13.362735
1898,LCP1,13.35707
2986,AHCY,13.352787
2991,THOP1,13.350009
476,P4HB,13.3412485
4574,PAK3,13.332815
2158,CPOX,13.331255
1905,KREMEN1,13.324911
3611,RBM4,13.320215
2701,JOSD1,13.317871
4113,SNCAIP,13.314263
6295,ISOC1,13.293378
2972,QTRT2,13.269946
2500,VAMP7,13.268282
3049,FAM3A,13.259584
5030,MAP2K4,13.253654
615,TARDBP,13.253106
4987,JAG1,13.25051
769,UBASH3B,13.201109
2945,SIL1,13.182161
738,GLTP,13.177291
4085,ACTN4,13.174733
854,RPS6KA6,13.135845
6384,DUT,13.126592
2525,KAAG1,13.104265
729,UBA2,13.098058
2224,DECR2,13.087167
2077,NMT2,13.072476
1972,ANXA11,13.024185
2215,PGM2,13.016435
2878,TLNRD1,13.004964
5991,NUDC,12.986356
851,HOMER2,12.984396
5708,NTS,12.981114
2541,USP28,12.969678
1,RAF1,12.967173
59,SMAD3,12.967023
2352,TK2,12.955214
4205,WDR18,12.950819
6311,ACTN1,12.948179
2434,PDAP1,12.941615
3888,PHYHIP,12.934831
1280,ODC1,12.9110565
1521,KIAA0040,12.904039
1066,LUM,12.896701
4960,RPS3,12.876805
3758,BZW2,12.864816
1850,MAPRE3,12.862043
4355,IL16,12.827434
1134,RCAN1,12.82332
664,RAB22A,12.820026
2227,RDX,12.817585
4698,PPIA,12.800176
2426,HOMER1,12.797559
2652,PFN1,12.794469
41,BAG3,12.791386
5032,PDE2A,12.74478
3993,PTPA,12.705684
5311,CELA3B,12.67845
3050,SCGB1D1,12.677538
679,PELO,12.657428
2173,SERF2,12.651834
607,CBL,12.633187
4282,PLCD3,12.605503
1009,KIFBP,12.6024685
4275,INHA,12.60207
856,SEPTIN10,12.599359
1655,CRIM1,12.584865
4786,RAN,12.57968
2943,YARS2,12.5717745
1111,PRXL2A,12.571221
3048,ACOX1,12.567655
2284,UBE2D2,12.556444
2088,PPCS,12.545393
2393,ZFAND1,12.543847
2663,PIH1D2,12.542978
4268,DOCK2,12.517304
523,KLRC3,12.506033
3137,SENP2,12.501704
5225,BAD,12.492532
696,NXF1,12.490534
6095,SYT17,12.488078
1605,ID2,12.487191
6360,PITPNA,12.47701
1682,ENPEP,12.476804
372,QDPR,12.473351
1539,PACSIN3,12.470461
49,ASMTL,12.464417
1544,PTPN7,12.458724
4026,HIRIP3,12.453432
631,SRI,12.41368
577,CPT1B,12.412945
4817,ENTPD5,12.402344
5242,BOLA3,12.394165
119,COX6A2,12.39366
750,CKS1B,12.381596
6000,TMEM132B,12.377004
2805,RCAN2,12.347811
3234,NUB1,12.336167
6052,NR1H2,12.333031
3500,KCTD6,12.3315
3887,GRIPAP1,12.311773
2607,RAB11B,12.308692
1562,CCDC134,12.284376
3763,RTKN,12.229613
2269,INHBA|INHBC,12.220082
4082,DYNC1LI2,12.201687
5965,TXN,12.198217
2360,MYL12B,12.197942
4857,FABP3,12.19468
723,CLIC4,12.193581
3681,TRUB1,12.192879
4294,EIF5,12.18729
3126,WDR48,12.165389
4312,PRKCZ,12.150663
4687,MAPKAPK5,12.128138
1177,HS6ST2,12.127978
1441,CARS1,12.120331
2475,VPS26A,12.120037
4915,C1QBP,12.118858
6301,G3BP2,12.106651
5588,STX3,12.095936
2649,UPP2,12.079565
960,STX10,12.071276
350,CDH15,12.06786
2745,TLR10,12.059046
513,ARFGAP1,12.057544
2851,ITPK1,12.051683
1743,GPT,12.046063
2796,RPS14,12.041729
4709,RPS7,12.039799
2917,RGS16,12.024267
4564,CSK,12.018558
1453,SPARC,12.015128
5083,HS6ST1,12.014096
3989,DHRS3,12.005896
4956,PGK1,11.985015
1299,PAK4,11.977394
3629,SEPTIN1,11.972682
2616,MYL4,11.965651
1492,DOK2,11.962009
5438,RELL2,11.96092
1718,HSPG2,11.934367
3143,USP30,11.934136
1531,TMEM185A,11.930529
2407,HOPX,11.915713
191,GAL3ST2,11.914041
161,APLP2,11.910206
4281,PKN2,11.906659
4995,SCARB2,11.896347
5979,ADAMTS3,11.895192
2558,IHH,11.883239
5086,PRKCB,11.878289
2740,IZUMO4,11.877354
5058,KRT18,11.840062
5928,RNASEH1,11.837299
113,MXRA8,11.827942
3929,RILPL1,11.822205
4291,TNFRSF8,11.809434
778,TRIM3,11.789078
3359,HOXC11,11.787316
4829,IL11,11.780681
2410,NDUFA5,11.778706
64,STAT1,11.7677355
432,MFN1,11.744708
2210,SUOX,11.73676
3226,IKBKG,11.728946
1036,PSD,11.728589
5341,TP53I13,11.72757
2443,RAB2B,11.727466
5017,PDE9A,11.716595
3777,HENMT1,11.7148285
5724,COA3,11.713602
2533,PARK7,11.706821
4311,PRKCA,11.69884
617,RPS6KA1,11.698752
3650,OLAH,11.694869
3673,TMOD4,11.687968
4196,PLEKHM2,11.682474
3857,TRAPPC13,11.679154
5220,MAPT,11.672464
4411,CGA|LHB,11.669843
5265,PSAP,11.667622
2072,NCALD,11.667186
4119,TFCP2L1,11.659272
2821,RPL5,11.656989
3083,WWP2,11.656548
5015,PDE7A,11.65188
2404,VBP1,11.641486
429,RRM1,11.641295
1270,CCT7,11.640061
1880,UBE2G1,11.639261
4838,COL23A1,11.635228
4754,PLAU,11.619849
1125,USP8,11.618429
1944,PMM1,11.604707
4791,TK1,11.594764
2073,DDIT4,11.589903
3948,PHETA2,11.563905
3338,ZFP36,11.529332
596,INTS3,11.526519
1656,FGFBP1,11.52633
2669,TSR2,11.500094
3878,DOHH,11.47229
2620,EIF4EBP2,11.469182
3760,XPNPEP3,11.466188
4044,PSPC1,11.465301
825,PDK2,11.45224
4665,CDKN1B,11.434988
4029,KHSRP,11.417611
2591,UBE2R2,11.411784
3224,FLI1,11.409217
3220,CD2AP,11.401193
5537,CDSN,11.388546
4421,CCN2,11.363068
6306,NQO1,11.362672
2304,ENTPD2,11.357965
912,ELMO1,11.34918
2674,POP7,11.34519
245,STX8,11.335593
5894,PAPOLG,11.316445
976,NEDD9,11.3142395
3999,VPS26B,11.312745
4713,TPO,11.308947
3620,NIF3L1,11.293064
2109,SARS1,11.281227
3749,AIPL1,11.272402
2989,TSC2,11.269647
142,TMEM108,11.25162
3679,CLYBL,11.229729
430,TYMP,11.229346
2662,LSM12,11.225599
2120,VPS25,11.218894
3072,PPIL3,11.217752
5360,AOC2,11.2101555
1834,SCO2,11.195321
5491,IGFL3,11.186861
5275,SPACA1,11.180005
1667,SAA4,11.17852
687,RHOD,11.177965
3765,ATIC,11.172107
6346,NEFH,11.170841
3974,DMRTB1,11.158611
998,MTCP1,11.156436
1625,RND3,11.155995
4860,EPB41,11.153639
2823,BRK1,11.151837
1476,YWHAE,11.148503
2131,CRYGC,11.142068
204,TMED2,11.136342
3057,MYBPC3,11.131442
382,LRP1B,11.129781
966,ARHGEF2,11.123
649,CAPN3,11.116284
6331,CRKL,11.112053
4461,TNFSF13B,11.11147
2001,VAMP1,11.106093
3659,RFC4,11.099922
5972,BST2,11.088714
3937,CLDN1,11.086335
397,TMCC3,11.075851
3461,TIMM23,11.074806
5900,SULT4A1,11.061471
2499,TOM1L2,11.05242
2234,PSMD10,11.050625
4176,HSPA12A,11.050078
758,RGS7,11.043757
3252,HSPA2,11.029251
5155,DEFB103A,11.013203
6086,SEL1L2,11.013179
1368,EPB41L1,11.007516
1785,GLRX5,11.006385
2261,MVD,11.005653
3460,THRB,11.004105
4763,ANP32B,11.001779
4778,NUDCD3,10.9996195
3093,CD8A|CD8B,10.988254
6198,CPQ,10.975866
1396,RANBP3,10.96873
4096,UBE4A,10.9641695
1924,SNRPB2,10.954533
126,GLB1,10.946647
2938,RWDD1,10.94123
2730,SIGLEC11,10.925478
877,HMG20A,10.918602
4031,SOX6,10.9178295
3184,MAK16,10.914859
1922,SEPSECS,10.911202
4002,KIT,10.910206
1652,AOC1,10.896091
3073,RPS20,10.889372
4247,SEC14L4,10.8848095
364,ASL,10.859296
4951,NCK1,10.849852
3552,KCTD2,10.841639
2732,SEMA4G,10.840185
40,AP4M1,10.815029
3039,SCLY,10.8126135
2830,NDUFAF1,10.809047
5068,TNFRSF21,10.8089485
4433,LSAMP,10.789149
3901,HCCS,10.784287
1370,PPCDC,10.783933
2361,NFKBID,10.778423
4190,CTNNA3,10.753704
5096,CTSD,10.751095
1015,KRT20,10.749475
3247,TACC3,10.745849
2163,SRP19,10.743335
861,KLHL12,10.743237
4122,EXOC7,10.72933
2401,NAP1L4,10.728135
4103,WASL,10.723036
6185,GGH,10.70237
3940,BIN3,10.70118
155,LRP2,10.698399
807,KLHL7,10.697514
6186,MPZL2,10.694571
1908,VAMP2,10.691782
2382,PPP1R2,10.691479
712,TIGAR,10.690159
6091,SYT5,10.686886
611,DES,10.683625
4765,VTA1,10.680145
1444,CNTFR,10.663921
3501,MAP3K10,10.661376
1488,BHMT2,10.656629
986,RBL1,10.655505
5566,MGAT4B,10.640006
2544,EGFR,10.634784
5940,TRAPPC5,10.632849
1759,ROBO4,10.627519
5986,PIK3R1,10.617088
6269,GSTM3,10.614144
884,UBQLN4,10.614116
3984,DTNA,10.594798
399,SORT1,10.576023
1399,GZMB,10.574469
3778,TRIM55,10.56842
4546,HJV,10.567921
2702,IFT22,10.555756
951,APPL1,10.546039
4404,CYCS,10.541646
569,AGFG1,10.540834
35,PIN1,10.52734
1272,CFD,10.52255
345,MSR1,10.522364
4280,PIK3C3,10.521608
4782,PFDN5,10.519837
3603,PCYT1A,10.512806
6063,STX18,10.505881
2979,NARS1,10.504811
811,ARFIP2,10.497349
4462,CTSB,10.479934
4293,CST3,10.472695
4940,SCGB2A1,10.463185
5577,H6PD,10.457761
4446,CGA|FSHB,10.455281
4658,CD84,10.45482
3934,DRAP1,10.453536
1974,HSPA13,10.452956
527,MGA,10.451973
2827,UBL5,10.447586
868,PELI2,10.431881
2646,PDE4C,10.4289055
2460,GSR,10.411519
4089,ELMO2,10.410378
3967,PSPH,10.406644
2656,ACYP1,10.384501
2859,CAMLG,10.378106
5488,FIG4,10.377908
1992,TICAM2,10.3774605
5732,VAMP3,10.367633
641,TPM3,10.365015
2359,UBQLN2,10.363877
1332,PGK2,10.3604
5164,TNXB,10.355635
390,CD34,10.350299
1969,SRP14,10.347027
2459,PEF1,10.3393955
4931,FGG,10.325759
5804,NSDHL,10.3127365
4054,HIP1R,10.311011
901,RBM3,10.303932
4369,CDH5,10.291795
492,DYNLL2,10.290292
6005,COX6C,10.282149
4824,SIGLEC1,10.276492
2926,RPL11,10.274295
3329,LACTB2,10.269832
3160,ZCCHC17,10.267018
3583,ZFAND2B,10.256739
4385,NR3C1,10.23954
2436,PFDN1,10.238073
3202,OTULIN,10.237803
943,EHBP1,10.23672
2250,ARL2BP,10.236605
1778,NUDT2,10.231897
2877,PTPMT1,10.22685
4919,CTSZ,10.224388
193,FBLN5,10.219607
408,PPM1D,10.211168
3767,GFPT2,10.208061
3033,IZUMO1,10.204877
4139,GNG12,10.202324
1684,TCN2,10.19656
2278,SAA2,10.192985
3626,CGGBP1,10.186111
4188,DPP8,10.177761
1619,OTC,10.17676
715,PRKAR1B,10.171194
421,TALDO1,10.167407
547,TAGLN2,10.153763
1657,FOLR3,10.1417465
3496,SIRT2,10.13939
3732,RCSD1,10.138127
360,FDX2,10.122899
5983,RRM2B,10.117506
570,TXNIP,10.114577
789,OPHN1,10.112505
1148,UNC93B1,10.10299
4594,CMA1,10.101967
5739,FJX1,10.093976
4346,IGHG1,10.06896
3117,USP2,10.065428
4491,CTSS,10.0627775
1317,FRZB,10.061375
2888,UBE2W,10.058562
512,HMG20B,10.058396
4213,RPP40,10.036838
553,SMAP1,10.033231
4631,TGFB3,10.029909
2670,IMMP2L,10.016682
368,NAGS,10.015512
6302,HGD,10.014295
4729,SKP1,10.010281
4400,MDK,10.009064
3046,GGT5,9.995446
4700,ETHE1,9.991418
1237,AP2A2,9.99049
1151,PDE6D,9.987604
5643,CFTR,9.985426
5094,WNK3,9.984491
5931,RETREG1,9.982559
540,HSF1,9.977275
6320,SAT1,9.976569
1506,HNRNPH1,9.962116
2727,SCARB1,9.959589
4287,PLS3,9.955763
2336,NMNAT1,9.955412
5598,SYN3,9.944984
6222,TMEM38B,9.938429
1996,UGT1A1,9.928768
2781,DNAJB8,9.916148
2415,NFKBIA,9.912996
137,B2M,9.910611
302,RUNX3,9.909343
3958,PYCARD,9.908937
322,MEGF10,9.902197
2391,FIBP,9.897766
4756,MMP2,9.894354
2419,NUTF2,9.890137
135,MGAT1,9.887203
1209,RND1,9.883851
831,PANK3,9.881761
764,ITCH,9.875551
6381,LRRC24,9.873121
3455,TCAP,9.87311
2640,C1S,9.858615
1185,POLI,9.856827
4522,FCER2,9.848655
2179,WWC1,9.847421
2282,SH2D1B,9.8469715
964,FBXL5,9.844808
3933,TRAPPC6A,9.839024
470,SOCS3,9.831892
1680,PPP3R1,9.831389
732,LMOD1,9.829475
2043,PECR,9.806837
5415,SERPINA12,9.802158
5128,CRTAC1,9.77026
3351,SRPK1,9.769996
2455,G3BP1,9.768264
6075,RAPGEF5,9.763273
5953,DCUN1D5,9.76238
3129,USP46|WDR48,9.76092
1140,UBE2D4,9.7474375
58,MYC,9.745118
4289,XPO5,9.743433
3903,ASAP3,9.7424345
5037,PDE1A,9.741908
1006,ALDH3B1,9.73676
3910,ADD2,9.735654
2982,STK3,9.7205105
2980,FUCA1,9.71235
4998,RTN4R,9.7087555
3470,SLC25A1,9.708689
2990,MAP3K11,9.705258
3069,NKIRAS2,9.704559
741,TEAD4,9.701509
4602,INSR,9.694852
3635,CCDC107,9.694473
254,PLEKHA4,9.692283
2561,NT5C3A,9.691373
2406,RPS5,9.685701
3639,GAS2,9.6814375
2904,TMIGD2,9.678125
2684,PHOSPHO1,9.675367
3383,NGDN,9.674217
2177,DTD2,9.6712
256,STX6,9.669371
1553,ARHGAP5,9.6632805
6365,NXT1,9.657097
1507,PPIL2,9.656334
5021,CSNK2A1|CSNK2B,9.651547
3182,LASP1,9.651325
5090,RPS3A,9.649198
5254,ADA2,9.644767
2170,TAF10,9.644365
1138,ITPKA,9.639683
5987,CENPW,9.632339
1608,BIRC7,9.629906
4793,TKT,9.623334
139,PLXDC2,9.620045
424,TTN,9.615986
1993,OVCA2,9.610553
4455,RETN,9.607712
2766,PFN4,9.607038
1108,TMEM132D,9.604684
2159,SPA17,9.599322
5476,SNX8,9.596389
721,MCTS1,9.591229
6016,ENTPD6,9.582136
6242,BIN1,9.576566
1593,EDN3,9.573292
1773,NRXN3,9.567782
72,FAIM,9.561721
3356,H2AC11,9.5569725
1933,PFKM,9.537114
2138,GSTM5,9.535701
5351,CPN2,9.526687
3450,TADA2A,9.526587
3118,USP19,9.523004
2930,DHRS4,9.520189
5073,TNNI3,9.508439
5652,TIMM50,9.492335
6297,FHIT,9.491294
3135,UBE2N|UBE2V2,9.481062
1418,PKP2,9.472669
5099,FGL1,9.466932
3917,SNX12,9.46652
4891,F5,9.455705
2335,SLIT3,9.453192
1622,PNOC,9.452338
2622,GFAP,9.450224
3109,UBE2Q2,9.448623
4596,EPHA1,9.446688
2852,TYW5,9.441658
790,PDRG1,9.440099
4724,MSLN,9.438098
6313,ARHGDIB,9.436005
3074,SNIP1,9.43514
3366,KCTD7,9.430721
4613,MPL,9.430003
725,GABARAPL2,9.425295
3262,PPP2R5D,9.409679
3927,MTMR7,9.404404
2469,RAB13,9.3990555
684,ULK3,9.39507
3578,RABL3,9.38809
4768,FER,9.376224
1666,SAA1,9.375688
2856,SF3B6,9.373507
3874,SND1,9.371161
386,GAD1,9.365898
1651,AGRN,9.363848
3201,OTUD3,9.361848
2023,RRM2,9.34147
4645,CLEC7A,9.339968
3498,TNFAIP1,9.335429
2161,SSBP1,9.334772
1919,CHMP2B,9.328501
874,L3MBTL2,9.323064
3399,PPP4C,9.322004
3076,STX17,9.319987
2102,PYCR1,9.317057
6145,CPA2,9.312935
4506,LYVE1,9.312501
2450,SDCBP2,9.298542
899,BAG5,9.291328
5035,IMPDH2,9.284925
5071,SIRPA,9.279909
4356,CCL4L1,9.276043
31,FOXM1,9.275346
1335,FARS2,9.273686
5127,MLN,9.271069
2425,BAG2,9.259339
3025,GRK5,9.257964
1252,ZFP91,9.253058
3334,SAP30L,9.249468
2125,FABP9,9.248936
352,TPMT,9.24746
1613,MAPK10,9.24631
2726,IL12A|EBI3,9.23937
1112,MAN1C1,9.238712
6144,CPA4,9.229826
448,MVK,9.229248
5012,TGFBR2,9.222155
5356,MMP19,9.221422
525,SRSF6,9.218947
4056,ARMC3,9.218404
1174,ASAP2,9.210628
2171,OXSM,9.186428
1679,KLK14,9.183089
29,ILK,9.182447
2617,JPT2,9.180469
3324,HEY1,9.177889
2327,PDE4A,9.175061
4386,HDAC8,9.167826
106,PGRMC2,9.167366
2923,TSC22D3,9.164268
3331,PWWP3A,9.162273
1842,NANP,9.159222
3148,XYLB,9.155978
3177,CLEC1A,9.15418
2775,RAB24,9.154113
5342,C1QL1,9.150202
5655,NDUFV2,9.144052
929,PIWIL1,9.143552
6236,GZMK,9.141849
1310,C7,9.141416
3297,DLX2,9.131831
4605,POSTN,9.125266
4905,MMP13,9.124548
2449,GIPC1,9.12125
3066,CTNNBIP1,9.120444
1380,TANK,9.119386
46,CBS,9.118891
3325,HOXA11,9.118128
1569,S100A10,9.115398
2008,PTTG1,9.098907
2712,MCAM,9.09197
1477,ANXA5,9.07913
2018,UBE2A,9.074225
459,FAH,9.071959
141,POMK,9.063518
6062,MXI1,9.057741
4946,SOD2,9.056618
6277,HNRNPF,9.053159
1917,AIDA,9.049219
1376,DCP1A,9.042394
1579,SDF2,9.030441
5231,HINT1,9.029506
2277,LRIG1,9.02851
3168,RPN2,9.0243845
5309,INSRR,9.021662
2446,CLTA,9.019846
3789,TRMT6,9.017936
3417,DSG4,9.010407
4547,TFPI,9.006107
759,RHOG,9.005403
4856,HIBADH,8.999101
3027,CASP7,8.995898
2089,DRG1,8.994425
1247,USO1,8.991823
1265,TYRO3,8.98933
5551,SEMG1,8.986159
2973,RAB3IL1,8.983667
1136,PTH1R,8.983644
4014,STXBP4,8.983423
3441,TIMP2,8.982009
4539,LRIG3,8.978633
5932,PLVAP,8.978351
3730,ZNF593,8.975303
376,CASQ1,8.971012
2957,GARS1,8.970283
2438,UBE2D1,8.9673815
665,RAB7B,8.965596
1232,AK5,8.965052
5328,MRPL58,8.955308
1253,TOM1L1,8.954307
4417,AREG,8.952127
475,CAPZA1,8.948173
1082,MDM4,8.947405
3541,DPCD,8.943698
965,RNGTT,8.932138
3299,E2F5,8.927941
5613,MMGT1,8.927745
3078,URM1,8.927579
6191,PLA2G12B,8.925146
754,CALCOCO2,8.924438
5387,IGLL1,8.9238
5281,SIRPB1,8.918553
5745,TPST1,8.91605
6340,MYO6,8.909009
1970,RPP30,8.902293
6299,SULT2A1,8.898143
4348,APOA1,8.897328
5194,ASAH1,8.897308
3411,MRPL50,8.893796
4965,TPM1,8.889052
344,ITGB7,8.876417
866,ACLY,8.873677
229,EBI3,8.866992
4088,ME1,8.857405
1868,SULT1E1,8.850008
5647,ITGB6,8.847569
4535,SERPIND1,8.845706
6,OCRL,8.845681
4227,MACROD2,8.842315
3604,FAM118B,8.840587
3844,USP3,8.838774
6244,SYT2,8.838745
999,KRT17,8.83554
4934,GRN,8.827687
2925,TNIP1,8.815929
2403,UBE2L6,8.8057165
1653,CES1,8.804826
676,CDC25B,8.801857
4046,VAC14,8.798742
1285,CRLF2,8.795122
2898,POLB,8.791502
1618,OPTC,8.785942
1049,HIF1A,8.778603
1154,CERS5,8.776745
3805,PROCR,8.768337
2589,PGLYRP4,8.764612
4955,UCHL1,8.760212
1246,NAP1L1,8.75738
1176,VSNL1,8.74368
3445,SPATA46,8.739776
2398,GULP1,8.736733
5057,IL1RN,8.736116
312,NFE2L1,8.7289715
883,PIN4,8.727883
216,PILRA,8.717935
1291,IL12RB1,8.717163
6210,VEGFB,8.709134
5594,NPTN,8.708739
3892,KCTD3,8.705867
3414,KIRREL1,8.702274
2919,EPHX2,8.701467
3439,SKP2,8.70141
5386,CANT1,8.696521
2035,HAO1,8.692098
4821,MFGE8,8.687794
1290,HMGCS2,8.684427
4858,CSF2,8.683649
5193,PI15,8.681389
1751,WIF1,8.680259
2034,NCF1,8.679921
2474,CASQ2,8.677068
3453,TAF8,8.674967
3173,SSTR1,8.674049
4815,ENPP7,8.6739435
1746,SHC1,8.672718
5970,ESRP1,8.671788
3082,PDE1B,8.669474
1758,LGR5,8.666465
5238,TNFSF12,8.660187
2217,CPLX1,8.657039
2818,POLR2C,8.653483
957,KCNF1,8.652522
3065,CTH,8.652426
5376,TIMP4,8.651395
6337,RBBP6,8.651391
8,SNAI2,8.649948
3278,UPB1,8.6435
4906,SHBG,8.637811
4604,LCK,8.630505
5196,LETMD1,8.63016
2844,UBA3,8.6297035
6314,TGIF2,8.62585
5508,TRAPPC4,8.62576
1892,PDCD4,8.625008
2200,ASRGL1,8.618431
3349,CHN1,8.618145
1629,NRG1,8.612436
2698,AP1AR,8.611774
1923,VHL,8.606951
2491,BAIAP2,8.606655
2178,GNG11,8.600925
6275,IDO1,8.595875
5211,TDGF1,8.595563
30,GAN,8.593385
5463,UBE2J1,8.590864
2005,WWOX,8.588533
5169,ELK3,8.587745
1071,FLRT2,8.581417
5490,SNX1,8.577482
1632,TIMD4,8.576375
972,TMEM237,8.574464
5738,ST8SIA2,8.571533
213,KLRB1,8.56352
2644,LMNB2,8.563289
4018,PLCD1,8.562431
3265,ATP5PB,8.557978
2485,ACP3,8.5550165
4157,RIC8A,8.551227
2135,CHMP1B,8.551119
3812,PAGE4,8.547086
65,STAT6,8.543841
1065,SPP1,8.543686
5396,SCGB1D2,8.543359
5808,COMP,8.54265
1365,PC,8.542167
2320,KIR3DL1,8.540097
5044,VAV1,8.53558
6317,IFIT2,8.532416
5216,LIFR,8.532232
3000,TYRP1,8.509217
3925,PLA2G5,8.507001
5722,SPTLC1,8.506634
2892,SAMSN1,8.490986
1017,RBM22,8.489679
4794,TPI1,8.488598
4636,DDC,8.483294
685,MPG,8.477177
3513,RGN,8.474598
3147,MGAT5,8.47276
1028,FRS2,8.4722
5451,ATAD1,8.466379
6298,LDHC,8.465351
634,RRAS2,8.459254
1289,CXCL13,8.459113
123,LAT,8.456633
3380,NDUFAF5,8.45079
3494,CCL22,8.446747
4634,CD40LG,8.443548
745,RAD23B,8.439245
5942,TMEM106B,8.439084
4331,TNFRSF13B,8.436604
1726,TAGLN,8.42814
2492,MOB4,8.426119
2275,EIF4A1,8.42438
6316,EIF1AX,8.423144
876,GJA8,8.422803
100,CD59,8.4208975
5696,BNIP3L,8.417578
1709,KRT19,8.413099
5186,TREML2,8.412767
871,HERC1,8.408832
4043,NUMBL,8.405912
2819,SDHAF1,8.398735
194,CSF1,8.397682
2526,NPL,8.391234
514,SMURF1,8.387933
4072,WEE2,8.38709
886,CIRBP,8.386212
5177,INSL3,8.379518
3435,SAMM50,8.378721
1267,PLA2G2E,8.373305
3221,DAB2,8.373083
1499,PREP,8.370019
1598,FCGR3A,8.369088
4194,EIF4G1,8.36713
1552,CRLF1,8.366611
2677,TRAPPC2,8.360342
45,STAR,8.357653
1158,MIOX,8.351774
1358,SLC26A7,8.350865
3360,HOXD4,8.345225
870,SH2D3C,8.34492
1367,NSF,8.343365
1814,SCUBE3,8.34221
4467,IL2,8.339323
932,NUDT3,8.336012
2560,RDH10,8.329904
3471,UNG,8.322762
6291,NDUFB8,8.32206
1306,SPOP,8.309902
3726,MARVELD2,8.308469
5681,GOSR1,8.29868
4092,GYG2,8.298639
6107,PGM1,8.297242
2655,IL4I1,8.294793
1184,CERT1,8.293491
5883,SPRED1,8.283887
3511,EURL,8.2767105
1086,SHANK1,8.273839
3472,ATP6V1C2,8.272755
1998,HSPH1,8.263513
4166,OLIG1,8.262056
1245,PIR,8.259201
5056,HNRNPA2B1,8.24996
6379,YIPF6,8.248618
412,PXDNL,8.245067
1249,HGS,8.244202
3703,YJU2,8.242163
5591,SLMAP,8.242001
3150,MGAT3,8.237903
3614,UCK1,8.237825
5088,RASA1,8.236598
168,INSIG1,8.232423
1913,SNPH,8.230353
80,CSF2RA,8.230025
5256,PCOLCE2,8.225062
4510,NID1,8.22339
2895,HAX1,8.219054
5382,CFHR4,8.217753
3032,USP5,8.214953
4533,GFRA1,8.2141905
1085,WNT3A,8.212826
563,TNS2,8.209038
4222,YAP1,8.208368
2053,QPRT,8.208133
6003,UGT1A8,8.203223
792,TMOD1,8.201694
2371,NT5C3B,8.199181
6226,AIFM1,8.197415
2600,NFKBIE,8.197028
1513,RALA,8.194534
5749,NDRG4,8.193428
4720,LMNB1,8.192888
1896,TCL1A,8.192711
2929,HAUS1,8.19248
444,KRT7,8.191482
4047,FUBP3,8.191477
616,MSTN,8.188438
4425,LGALS4,8.18716
2280,SGTB,8.187067
2216,GBA,8.18502
1577,LAMTOR2,8.18329
1196,DCUN1D3,8.179049
6187,NNAT,8.171493
2180,SVIP,8.171075
2885,BLOC1S2,8.16861
4228,IRF5,8.167922
4443,FGF2,8.162276
